City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
77,Kathu,TH,2022-02-13 22:07:43,7.9178,98.3332,78.62,80,30,8.16,scattered clouds
78,Lebu,CL,2022-02-13 22:07:43,-37.6167,-73.65,63.73,77,72,8.59,broken clouds
79,Port Blair,IN,2022-02-13 22:07:44,11.6667,92.75,73.44,73,20,2.3,mist
80,Upernavik,GL,2022-02-13 22:07:44,72.7868,-56.1549,-5.93,97,100,13.91,overcast clouds
81,Elk River,US,2022-02-13 22:07:44,45.3038,-93.5672,10.09,59,100,5.99,overcast clouds
82,Yaan,NG,2022-02-13 22:07:45,7.3833,8.5667,84.96,12,100,2.51,overcast clouds
83,Faanui,PF,2022-02-13 22:07:45,-16.4833,-151.75,80.76,74,100,14.63,light rain
84,Sao Jose Da Coroa Grande,BR,2022-02-13 22:07:46,-8.8978,-35.1478,81.0,74,11,13.89,few clouds
85,Shimoda,JP,2022-02-13 22:07:46,34.6667,138.95,36.1,90,100,20.09,light rain
86,Kodiak,US,2022-02-13 22:07:46,57.79,-152.4072,36.91,70,0,6.91,clear sky
87,Podbrdo,BA,2022-02-13 22:08:47,44.4408,17.0139,22.55,87,8,4.9,clear sky
88,Fort Nelson,CA,2022-02-13 22:08:47,58.8053,-122.7002,13.57,90,94,3.02,overcast clouds
89,Bacolod,PH,2022-02-13 22:08:48,10.6667,122.95,75.63,85,99,4.92,overcast clouds
90,Alofi,NU,2022-02-13 22:08:48,-19.0595,-169.9187,80.8,74,100,12.39,overcast clouds
91,Chokurdakh,RU,2022-02-13 22:08:48,70.6333,147.9167,-6.77,93,100,9.31,overcast clouds
92,Domoni,KM,2022-02-13 22:08:49,-12.2569,44.5319,78.94,83,1,2.1,clear sky
93,Batemans Bay,AU,2022-02-13 22:08:49,-35.7167,150.1833,74.19,60,100,5.06,overcast clouds
94,Opuwo,NA,2022-02-13 22:08:50,-18.0607,13.84,68.9,86,100,5.97,light rain
95,Bilibino,RU,2022-02-13 22:08:50,68.0546,166.4372,-32.19,100,86,2.51,overcast clouds
96,Fortuna,US,2022-02-13 22:08:51,40.5982,-124.1573,74.43,100,100,6.91,overcast clouds
97,Saint-Francois,FR,2022-02-13 22:08:51,46.4154,3.9054,48.67,65,0,17.27,clear sky
98,Magadi,IN,2022-02-13 22:08:51,12.9667,77.2333,62.94,83,21,8.7,few clouds
99,Isangel,VU,2022-02-13 22:08:52,-19.55,169.2667,83.25,76,83,9.73,broken clouds
100,Los Llanos De Aridane,ES,2022-02-13 22:08:52,28.6585,-17.9182,60.55,72,0,8.99,clear sky
101,Lahad Datu,MY,2022-02-13 22:08:53,5.0268,118.327,75.07,91,100,3.49,overcast clouds
102,Ayr,GB,2022-02-13 22:08:53,55.4627,-4.6339,44.55,100,100,10.36,light intensity drizzle rain
103,Ostrovnoy,RU,2022-02-13 22:08:53,68.0531,39.5131,18.73,65,100,21.88,overcast clouds
104,Ilulissat,GL,2022-02-13 22:08:54,69.2167,-51.1,15.82,79,40,25.32,scattered clouds
105,Atar,MR,2022-02-13 22:08:54,20.5169,-13.0499,69.89,19,100,9.8,overcast clouds
106,Leningradskiy,RU,2022-02-13 22:08:55,69.3833,178.4167,-17.23,92,94,6.17,overcast clouds
107,Englehart,CA,2022-02-13 22:08:55,47.8169,-79.8664,-4.02,90,95,1.99,overcast clouds
108,Mobai,SL,2022-02-13 22:08:55,7.9944,-10.7511,75.74,78,55,3.58,broken clouds
109,Barra Do Garcas,BR,2022-02-13 22:08:56,-15.89,-52.2567,75.36,93,35,4.79,scattered clouds
110,Erenhot,CN,2022-02-13 22:08:56,43.6475,111.9767,-7.8,94,11,3.67,few clouds
111,Arco,IT,2022-02-13 22:07:43,45.9177,10.8867,42.62,68,0,0.65,clear sky
112,Saint-Philippe,RE,2022-02-13 22:08:57,-21.3585,55.7679,78.39,88,40,11.01,scattered clouds
113,Yenangyaung,MM,2022-02-13 22:08:57,20.4667,94.8833,62.73,37,43,6.22,scattered clouds
114,Retiro,AR,2022-02-13 22:08:58,-34.5833,-58.3833,80.22,31,0,8.05,clear sky
115,Koulamoutou,GA,2022-02-13 22:08:58,-1.1303,12.4736,72.81,93,88,2.15,overcast clouds
116,Barrow,US,2022-02-13 22:08:59,71.2906,-156.7887,-27.38,68,40,9.22,scattered clouds
117,Avarua,CK,2022-02-13 22:08:10,-21.2078,-159.775,80.65,78,75,2.3,light rain
118,Nikolskoye,RU,2022-02-13 22:08:42,59.7035,30.7861,33.71,89,100,12.71,overcast clouds
119,New Norfolk,AU,2022-02-13 22:09:00,-42.7826,147.0587,62.1,69,94,2.37,overcast clouds
120,Longyearbyen,SJ,2022-02-13 22:09:00,78.2186,15.6401,15.64,92,75,1.14,light snow
121,Narsaq,GL,2022-02-13 22:07:48,60.9167,-46.05,25.02,89,100,5.44,overcast clouds
122,Provideniya,RU,2022-02-13 22:09:01,64.3833,-173.3,-5.69,65,0,6.71,clear sky
123,Beyneu,KZ,2022-02-13 22:09:01,45.3167,55.2,31.08,70,100,16.96,overcast clouds
124,Port Elizabeth,ZA,2022-02-13 22:05:39,-33.918,25.5701,69.48,82,54,9.89,broken clouds
125,Korhogo,CI,2022-02-13 22:09:02,9.45,-5.6333,76.98,12,5,3.38,clear sky
126,Xiongyue,CN,2022-02-13 22:09:02,40.1774,122.1228,17.01,93,100,13.85,light snow
127,Pochutla,MX,2022-02-13 22:09:03,15.7432,-96.4661,88.83,50,70,7.78,broken clouds
128,Arraial Do Cabo,BR,2022-02-13 22:09:03,-22.9661,-42.0278,76.86,88,20,16.11,few clouds
129,Bontoc,PH,2022-02-13 22:09:04,17.0899,120.978,64.76,97,59,0.36,broken clouds
130,Kanashevo,RU,2022-02-13 22:09:04,55.2169,62.0634,16.11,97,100,2.19,light snow
131,Petropavlovsk-Kamchatskiy,RU,2022-02-13 22:09:04,53.0452,158.6483,16.39,57,75,8.95,broken clouds
132,Saskylakh,RU,2022-02-13 22:10:05,71.9167,114.0833,-17.57,88,41,3.0,scattered clouds
133,San Quintin,MX,2022-02-13 22:09:46,30.4833,-115.95,75.22,24,4,10.45,clear sky
134,Half Moon Bay,US,2022-02-13 22:10:06,37.4636,-122.4286,81.14,50,0,0.0,clear sky
135,Torbay,CA,2022-02-13 22:10:04,47.6666,-52.7314,37.58,70,98,1.99,overcast clouds
