City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
177,Wenling,CN,2022-02-09 21:14:27,28.3669,121.36,44.91,88,100,8.03
178,Kavieng,PG,2022-02-09 21:14:28,-2.5744,150.7967,81.25,79,71,5.97
179,Englehart,CA,2022-02-09 21:14:28,47.8169,-79.8664,25.36,93,100,11.5
180,Kem,RU,2022-02-09 21:14:28,64.9555,34.5793,21.2,95,83,8.77
181,Longyearbyen,SJ,2022-02-09 21:11:53,78.2186,15.6401,12.04,79,75,8.05
182,Seoul,KR,2022-02-09 21:15:29,37.5683,126.9778,24.31,86,0,2.3
183,Banda Aceh,ID,2022-02-09 21:15:29,5.5577,95.3222,77.38,80,100,4.56
184,Iraucuba,BR,2022-02-09 21:15:30,-3.7461,-39.7833,78.91,75,65,4.34
185,Elizabeth City,US,2022-02-09 21:10:58,36.2946,-76.2511,59.05,37,75,4.61
186,College,US,2022-02-09 21:14:40,64.8569,-147.8028,-5.42,75,100,3.44
187,Kushima,JP,2022-02-09 21:15:30,31.4583,131.2333,45.91,91,100,5.46
188,Korla,CN,2022-02-09 21:15:31,41.7597,86.1469,24.96,54,93,2.75
189,Buala,SB,2022-02-09 21:11:48,-8.145,159.5921,80.8,82,24,6.29
190,Fort Saint James,CA,2022-02-09 21:15:31,54.4333,-124.25,41.95,97,100,4.85
191,Dhidhdhoo,MV,2022-02-09 21:15:32,6.8833,73.1,80.92,74,100,9.26
192,Shingu,JP,2022-02-09 21:13:50,33.7333,135.9833,42.91,93,100,6.24
193,Kaeo,NZ,2022-02-09 21:15:32,-35.1,173.7833,76.32,89,97,7.78
194,Bouna,CI,2022-02-09 21:15:33,9.2667,-3.0,79.74,15,4,3.47
195,Cockburn Town,TC,2022-02-09 21:10:46,21.4612,-71.1419,77.72,76,0,19.39
196,Beloha,MG,2022-02-09 21:15:33,-25.1667,45.05,72.7,88,0,3.76
197,Savelugu,GH,2022-02-09 21:15:34,9.6244,-0.8253,86.65,11,97,6.76
198,Namwala,ZM,2022-02-09 21:15:34,-15.7504,26.4384,66.0,96,98,3.2
199,Utraula,IN,2022-02-09 21:15:34,27.3167,82.4167,55.4,84,3,4.14
200,Tura,IN,2022-02-09 21:15:35,25.5198,90.2201,56.16,66,3,3.18
201,Itoman,JP,2022-02-09 21:15:35,26.1247,127.6694,66.22,86,75,8.05
202,Tuatapere,NZ,2022-02-09 21:06:54,-46.1333,167.6833,59.83,89,31,3.13
203,Alem Paraiba,BR,2022-02-09 21:15:36,-21.8878,-42.7044,70.21,98,100,0.89
204,Geraldton,AU,2022-02-09 21:12:45,-28.7667,114.6,59.41,88,0,6.91
205,Velikiy Ustyug,RU,2022-02-09 21:15:36,60.7644,46.3106,24.49,96,98,8.05
206,Koslan,RU,2022-02-09 21:15:36,63.4564,48.8989,15.46,94,100,10.89
207,San Patricio,US,2022-02-09 21:15:38,28.017,-97.5169,75.29,28,1,2.33
208,Tahta,EG,2022-02-09 21:15:38,26.7693,31.5021,53.4,38,0,8.95
209,Paciran,ID,2022-02-09 21:15:39,-6.8767,112.3761,77.54,88,100,9.89
210,Horta,PT,2022-02-09 21:15:39,38.5333,-28.6333,56.84,72,20,8.05
211,La Ronge,CA,2022-02-09 21:10:57,55.1001,-105.2842,8.82,78,100,5.75
212,Kawambwa,ZM,2022-02-09 21:15:40,-9.7915,29.0791,63.36,96,100,1.99
213,Namibe,AO,2022-02-09 21:15:40,-15.1961,12.1522,74.88,75,100,10.31
214,Copiapo,CL,2022-02-09 21:15:41,-27.3667,-70.3333,69.49,43,0,9.22
215,Lagoa,PT,2022-02-09 21:11:49,39.05,-27.9833,58.68,72,3,15.73
216,Great Yarmouth,GB,2022-02-09 21:15:41,52.6083,1.7305,48.22,78,100,5.57
217,Plettenberg Bay,ZA,2022-02-09 21:15:42,-34.0527,23.3716,65.41,79,0,6.55
218,Bosaso,SO,2022-02-09 21:15:42,11.2842,49.1816,73.33,67,14,3.49
219,Namtsy,RU,2022-02-09 21:15:43,62.7161,129.6658,-32.69,99,83,3.85
220,Alice Springs,AU,2022-02-09 21:13:12,-23.7,133.8833,71.15,73,31,5.75
