City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
484,Bucerias,MX,76.98,broken clouds,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
485,Manggar,ID,77.05,overcast clouds,-2.8833,108.2667,Guest Hotel
487,Meulaboh,ID,76.26,light rain,4.1363,96.1285,Kost Pria
488,Padang,ID,76.19,overcast clouds,-0.9492,100.3543,Mercure Padang
490,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
491,Katherine,AU,77.32,broken clouds,-14.4667,132.2667,Pine Tree Motel
492,Bongandanga,CD,77.81,broken clouds,1.5,21.05,
494,San Cristobal,VE,78.98,overcast clouds,7.7669,-72.225,Posada Villaven C.A.
499,Pacific Grove,US,85.57,clear sky,36.6177,-121.9166,Lovers Point Inn
502,Mopipi,BW,76.21,few clouds,-21.1833,24.8833,
503,Kloulklubed,PW,81.18,light rain,7.0419,134.2556,Storyboard Beach Resort
508,Kudahuvadhoo,MV,80.85,overcast clouds,2.6708,72.8944,Niyama Private Islands Maldives
512,Boende,CD,78.06,overcast clouds,-0.2167,20.8667,
516,Andros Town,BS,78.76,moderate rain,24.7,-77.7667,Hanks place
529,Jardim,BR,89.56,broken clouds,-21.4803,-56.1381,Estancia Hotel - Jardim MS
531,Puerto Padre,CU,88.81,clear sky,21.195,-76.6028,Casa Villa Velázquez
534,Jesus,PY,85.01,scattered clouds,-27.05,-55.7833,ANIBAL BUSS - VIVIENDA
538,Iguatemi,BR,83.16,scattered clouds,-23.6803,-54.5611,Hotel Seriema
540,Puerto Cabello,VE,77.02,broken clouds,10.4731,-68.0125,Hotel Cumboto
541,Kismayo,SO,77.16,broken clouds,-0.3582,42.5454,Agan-Hotel
545,Yenagoa,NG,80.33,few clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
547,Samarai,PG,81.61,scattered clouds,-10.6167,150.6667,Nuli Sapi
551,Kieta,PG,80.76,broken clouds,-6.2167,155.6333,Uruna Bay Retreat
552,Santa Maria,BR,76.3,clear sky,-29.6842,-53.8069,Hotel Morotin
554,Swan Hill,AU,82.31,scattered clouds,-35.3378,143.5544,Lazy River Motor Inn
555,Sao Gabriel Da Cachoeira,BR,75.0,very heavy rain,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
559,Kapoeta,SS,84.56,broken clouds,4.7717,33.5903,Eastgate Hotel
560,Amahai,ID,76.3,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
561,Catuday,PH,76.82,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
562,Itarema,BR,79.7,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
564,Sabla,NG,76.87,broken clouds,12.7525,4.7077,
565,Wamba,NG,77.63,few clouds,8.9333,8.6,Roma Zee Guest House Annex
566,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
567,Nabire,ID,75.96,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
568,Palmas,BR,84.07,thunderstorm,-10.2128,-48.3603,Hotel Lago da Palma
570,Banda Aceh,ID,77.95,scattered clouds,5.5577,95.3222,Sulthan Hotel International
574,Healdsburg,US,81.68,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
579,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
582,Nanakuli,US,80.55,clear sky,21.3906,-158.1547,Camp Pālehua
584,Porto Nacional,BR,84.2,broken clouds,-10.7081,-48.4172,Vila Real Hotel
585,Porto Novo,BJ,81.48,few clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
586,San Francisco,US,80.53,clear sky,37.7749,-122.4194,The Clift Royal Sonesta Hotel
594,Entre Rios,BR,76.86,overcast clouds,-11.9419,-38.0844,Pousada Porteira
